id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +name","#country +code +iso2","#adm1 +name","#adm1 +code +iso","#adm1 +code +local","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
39501,SLEP,small_airport,"El Peru Airport",-14.603954,-65.635157,528,SA,Bolivia,BO,"El Beni Department",BO-B,B,Yacuma,0,SLEP,,,,https://en.wikipedia.org/wiki/El_Peru_del_Apere_Airport,,50,2024-05-29T06:37:24+00:00
39503,SLEF,small_airport,"El Triunfo Airport",-13.883333,-65.76667,486,SA,Bolivia,BO,"El Beni Department",BO-B,B,Yacuma,0,SLEF,,,,https://en.wikipedia.org/wiki/El_Triunfo_Airport,,50,2024-06-07T10:23:25+00:00
39511,SLJS,small_airport,"Josuani Airport",-13.083333,-66.166664,498,SA,Bolivia,BO,"El Beni Department",BO-B,B,Yacuma,0,SLJS,,,,https://en.wikipedia.org/wiki/Josuani_Airport,,50,2024-06-07T09:51:16+00:00
39515,SLLB,small_airport,"Las Brizas Airport",-14.516666,-65.76667,722,SA,Bolivia,BO,"El Beni Department",BO-B,B,Yacuma,0,SLLB,,,,https://en.wikipedia.org/wiki/Las_Brizas_Airport,,50,2024-06-07T10:23:57+00:00
39522,SLNV,small_airport,"Nieve Airport",-14.016666,-65.800003,780,SA,Bolivia,BO,"El Beni Department",BO-B,B,Yacuma,0,SLNV,,,,https://en.wikipedia.org/wiki/Nieve_Airport,,50,2024-05-29T06:46:29+00:00
39523,SLNO,small_airport,"Nuevo Mundo Airport",-14.433333,-66.066666,548,SA,Bolivia,BO,"El Beni Department",BO-B,B,Yacuma,0,SLNO,,,,https://en.wikipedia.org/wiki/Nuevo_Mundo_Airport,,50,2024-06-07T10:24:24+00:00
39525,SLPM,small_airport,"Palmira Airport",-13.737951,-66.409333,530,SA,Bolivia,BO,"El Beni Department",BO-B,B,Yacuma,0,SLPM,,,,https://en.wikipedia.org/wiki/Palmira_Airport,,50,2016-06-09T09:15:45+00:00
39531,SLRH,small_airport,"Rancho Alegre Airport",-12.166667,-65.783333,754,SA,Bolivia,BO,"El Beni Department",BO-B,B,Yacuma,0,SLRH,,,,https://en.wikipedia.org/wiki/Rancho_Alegre_Airport,,50,2024-06-07T09:52:11+00:00
39532,SLRR,small_airport,"Retiro Airport",-14.483334,-66.349998,556,SA,Bolivia,BO,"El Beni Department",BO-B,B,Yacuma,0,SLRR,,,,https://en.wikipedia.org/wiki/Retiro_Airport,,50,2024-06-07T09:53:18+00:00
39533,SLRL,small_airport,"Rosal Airport",-13.975000381469727,-65.625,482,SA,Bolivia,BO,"El Beni Department",BO-B,B,Yacuma,0,SLRL,,,,,,50,2008-07-15T08:00:28+00:00
39545,SLRT,small_airport,"Santa Rita Airport",-13.933333,-66.333336,750,SA,Bolivia,BO,"El Beni Department",BO-B,B,Yacuma,0,SLRT,,,,https://en.wikipedia.org/wiki/Santa_Rita_Airport,,50,2024-06-07T09:54:07+00:00
39550,SLTY,small_airport,"Tiguipa Airport",-13.800000190734863,-66.23332977294922,722,SA,Bolivia,BO,"El Beni Department",BO-B,B,Yacuma,0,SLTY,,,,,,50,2008-07-15T08:00:47+00:00
429704,BO-0017,heliport,"Culpina K Heliport",-21.26314,-67.22413,,SA,Bolivia,BO,"Potosí Department",BO-P,P,"Culpina K",0,,,,,,,0,2022-09-03T08:26:05+00:00
308773,SLHT,heliport,"Transierra Helipuerto",-21.3385,-63.479,1486,SA,Bolivia,BO,"Tarija Department",BO-T,T,"Transierra Natural Gas Co.",0,SLHT,,,,,,0,2013-05-26T14:40:36+00:00
429703,BO-0016,heliport,"Villa Alota Heliport",-21.40185,-67.59456,,SA,Bolivia,BO,"Potosí Department",BO-P,P,"Villa Alota",0,,,,,,,0,2022-09-03T08:23:56+00:00
